Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Kallam Haranadhareddy Institute of Technology,"Near Kallam Spinning Mills Limited, Guntur-Chennai Hwy, Dasaripalem, Andhra Pradesh ",31 Mar 2022,Online,Nodal Center,97180,4859
St.Ann's College for Women,"12-2-823/A/45, St Ann's Rd, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana ",31 Jan 2022,Online,Nodal Center,73600,800
Mahatma Gandhi Institute of Technology,"MGIT Main Rd, Kokapet, Gandipet, Telangana ",3 May 2022,Online,Nodal Center,11600,448
K.S.R.M College of Engineering,"Yerramasupalli, C.K. Dinne, Kadapa, Andhra Pradesh",20 Jul 2022,Online,IIIT Hyderabad,7264,454
KL University Guntur,"Green Fields, Vaddeswaram, Andhra Pradesh ",27 May 2022,Online,IIIT Hyderabad,5600,2200
Dhanekula institute of engineering and technology,"Dhanekula Institute of Engineering & Technology, Vijayawada, Andhra Pradesh ",14 Sept 2022,Online,IIIT Hyderabad,4718,463
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",15 Feb 2022,Online,Nodal Center,3750,921
Sridevi Women’s Engineering College,"C7FV+CP5, V.N.PALLY, Gopan Pally, near WIPRO, Hyderabad, Telangana ",28 Oct 2022,Online,IIIT Hyderabad,2005,60
Lakireddy Bali reddy college of Engineering,"L.B.Reddy Nagar, Krishna District, Mylavaram, Andhra Pradesh",28 Sept 2022,Online,IIIT Hyderabad,2000,180
Malla Reddy Institute of Engineering and Technology,"Post Via Kompally, Maisammaguda, Dulapally, Secunderabad, Telangana",22 Sept 2022,Online,IIIT Hyderabad,1736,123
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",16 Feb 2022,Online,Nodal Center,1628,185
Santhiram Engineering College,"FCR9+VHQ, NH40, Nandyala, Andhra Pradesh ",6 Mar 2022,Online,IIIT Hyderabad,1500,160
KL University Hyderabad,"R.V.S Nagar, Moinabad-Chilkur Rd, near AP Police Academy, Aziznagar, Telangana",1 Jul 2022,Online,IIIT Hyderabad,298,35
K O R M College of Engineering,"FQH7+GHC, Krishnapuram, Thadigotla Chintakommadinne(M), Kadapa Rd, Andhra Pradesh",28 Apr 2022,Online,IIIT Hyderabad,120,47
Talla Padmavathi College of Engineering,"Tekulagudem,Somidi, Kazipet, Telangana ",4 Oct 2022,Online,IIIT Hyderabad,50,13
Vaagdevi College of Engineering,"Khammam - Warangal Hwy, Road, Bollikunta, Telangana",28 Mar 2022,Online,IIIT Hyderabad,11,2
IEEE,null,4 Mar 2022,Online,IIIT Hyderabad,6,1
