Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Nalla Malla Reddy Engineering College,"7-01, Divya Nagar, Kachivani Singaram, Ghatkesar, Hyderabad, Telangana ",11 Oct 2018,Offline,IIIT Hyderabad,4029,265
IIIT Hyderabad,"Professor CR Rao Rd, Gachibowli, Hyderabad, Telangana ",5 May 2018,Offline,IIIT Hyderabad,3367,975
Vidya Jyothi Institute of Technology,"Aziznagar Gate, Chilkur Balaji Road, Himayat Sagar Rd, Hyderabad, Telangana ",8 Oct 2018,Offline,IIIT Hyderabad,3306,259
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology,"Vignana Jyothi Nagar,Pragathi Nagar, Nizampet(S.O, Hyderabad, Telangana ",21 Aug 2018,Offline,IIIT Hyderabad,2724,199
CMR Engineering College,"Kandlakoya Village, Medchal Rd, Hyderabad, Telangana 501401",2 Aug 2018,Offline,Nodal Center,2642,147
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",29 Aug 2018,Offline,IIIT Hyderabad,2562,212
St.Martin's Engineering College,"Survey No. 563, Near Forest Academy, Dulapally, Kompally, Secunderabad, Telangana ",26 Oct 2018,Offline,IIIT Hyderabad,2511,202
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",25 Oct 2018,Offline,IIIT Hyderabad,2249,179
Sreenidhi Institute of Science and Technology,"Yamnampet, Ghatkesar, Hyderabad, Telangana",2 Aug 2018,Offline,IIIT Hyderabad,2094,322
GITAM Institute of Technology,"Gitam university, Rudraram, Telangana",7 Sept 2018,Offline,IIIT Hyderabad,1973,179
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",25 Jul 2018,Offline,IIIT Hyderabad,1460,198
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",20 Dec 2018,Offline,Nodal Center,1300,84
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",27 Dec 2018,Offline,Nodal Center,1145,120
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",28 Aug 2018,Offline,IIIT Hyderabad,1084,84
Chaitanya Bharathi Institute of Technology,"Osman Sagar Rd, Kokapet, Gandipet, Telangana",30 Nov 2018,Offline,Nodal Center,1027,283
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",22 Oct 2018,Offline,Nodal Center,900,60
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",29 Nov 2018,Offline,Nodal Center,900,60
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",24 Sept 2018,Offline,Nodal Center,843,58
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",21 Dec 2018,Offline,Nodal Center,825,58
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",28 Dec 2018,Offline,Nodal Center,820,85
G. Narayanamma Institute of Technology and Science,"Shaikpet Rd, Ambedkar Nagar, Shaikpet, Hyderabad, Telangana ",16 Aug 2018,Offline,IIIT Hyderabad,814,99
Chaitanya Bharathi Institute of Technology,"Osman Sagar Rd, Kokapet, Gandipet, Telangana",10 Oct 2018,Offline,Nodal Center,693,159
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",4 Oct 2018,Offline,Nodal Center,680,54
Sreenidhi Institute of Science and Technology,"Yamnampet, Ghatkesar, Hyderabad, Telangana",29 Mar 2018,Offline,IIIT Hyderabad,670,98
Sreenidhi Institute of Science and Technology,"Yamnampet, Ghatkesar, Hyderabad, Telangana",28 Mar 2018,Offline,IIIT Hyderabad,608,243
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",7 Sept 2018,Offline,Nodal Center,541,64
Stanley College of Engineering and Technology for Women,"H. No. 5-78 to 82, B-1-80 & 5-9-81, Chapel Road, Fateh Maidan, Abids, Hyderabad, Telangana ",27 Jul 2018,Offline,IIIT Hyderabad,446,62
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",12 Apr 2018,Offline,IIIT Hyderabad,325,29
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",24 Dec 2018,Offline,Nodal Center,300,35
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",13 Nov 2018,Offline,Nodal Center,294,62
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",17 Dec 2018,Offline,Nodal Center,270,18
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",1 Oct 2018,Offline,Nodal Center,233,28
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",22 Dec 2018,Offline,Nodal Center,215,80
CMR Technical Campus,"Kandlakoya (V, Medchal Rd, Hyderabad, Telangana",30 Aug 2018,Offline,IIIT Hyderabad,199,153
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",21 Mar 2018,Offline,IIIT Hyderabad,148,58
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",6 Nov 2018,Offline,Nodal Center,143,60
Chaitanya Bharathi Institute of Technology,"Osman Sagar Rd, Kokapet, Gandipet, Telangana",19 Jul 2018,Offline,IIIT Hyderabad,120,32
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",29 Mar 2018,Offline,IIIT Hyderabad,119,74
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",18 Dec 2018,Offline,Nodal Center,105,15
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",5 Sept 2017,Offline,IIIT Hyderabad,92,45
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",18 Jul 2018,Offline,IIIT Hyderabad,75,26
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",19 Dec 2018,Offline,Nodal Center,68,7
Sreenidhi Institute of Science and Technology,"Yamnampet, Ghatkesar, Hyderabad, Telangana",16 Mar 2018,Offline,IIIT Hyderabad,11,134
CMR Technical Campus,"Kandlakoya (V, Medchal Rd, Hyderabad, Telangana",24 Feb 2018,Offline,IIIT Hyderabad,2,2
