Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
St.Ann's College for Women,"12-2-823/A/45, St Ann's Rd, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana ",23 Feb 2023,Online,Nodal Center,22345,690
Kallam Haranadhareddy Institute of Technology,"Near Kallam Spinning Mills Limited, Guntur-Chennai Hwy, Dasaripalem, Andhra Pradesh ",27 Feb 2023,Online,Nodal Center,12626,159
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",23 Sept 2023,Offline,Nodal Center,12582,492
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",30 Jan 2023,Online,Nodal Center,2000,324
Santhiram Engineering College,"FCR9+VHQ, NH40, Nandyala, Andhra Pradesh ",27 Sept 2023,Offline,Nodal Center,1500,246
Santhiram Engineering College,"FCR9+VHQ, NH40, Nandyala, Andhra Pradesh ",23 Aug 2023,Online,Nodal Center,1500,246
Annamacharya Institute Of Technology & Sciences,"New Boyanapalli, Rajampet, Boyanapalli, Andhra Pradesh 516126",24 Aug 2023,Online,Nodal Center,972,106
Aditya College of Engineering & Technology,"Aditya Nagar, ADB Rd, Surampalem, Andhra Pradesh",4 Apr 2023,Online,IIIT Hyderabad,537,37
Malla Reddy Engineering College and Management Sciences,"Kistapur, Medchal, Hyderabad",8 Jun 2023,Online,IIIT Hyderabad,324,69
CVR College of Engineering,"5HWW+FV9, Vastunagar, Mangalpalli, Ibrahimpatnam, Telangana",13 Feb 2023,Online,IIIT Hyderabad,212,43
Maturi Venkata Subba Rao Engineering College,"Saroornagar Mandal, Badangpet - Nadargul Main Rd, Hyderabad, Telangana ",8 Jun 2023,Online,Nodal Center,153,26
ISTS Women's Engineering College,"NH-16, Eastgonagudem, Rajanagaram, Rajamahendravaram, Andhra Pradesh",14 Mar 2023,Online,IIIT Hyderabad,54,17
