Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Mahatma Gandhi Institute of Technology,"MGIT Main Rd, Kokapet, Gandipet, Telangana ",29 Dec 2020,Online,Nodal Center,14626,672
TKR College of Engineering & Technology,"Survey No -8/A Medbowli, Meerpet, Telangana ",11 Oct 2020,Online,Nodal Center,11426,634
Bharat Institute of Engineering & Technology,"Mangalpally Village, Ibrahimpatnam Mandal, Telangana ",31 Jan 2020,Offline,IIIT Hyderabad,2531,127
Kallam Haranadhareddy Institute of Technology,"Near Kallam Spinning Mills Limited, Guntur-Chennai Hwy, Dasaripalem, Andhra Pradesh ",22 Dec 2020,Online,IIIT Hyderabad,609,75
Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering &Technology,"Vignana Jyothi Nagar,Pragathi Nagar, Nizampet(S.O, Hyderabad, Telangana ",5 Apr 2020,Online,IIIT Hyderabad,604,69
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",14 May 2020,Online,IIIT Hyderabad,526,66
Malla Reddy university(MRU),"Maisammaguda, Dulapally, Hyderabad, Telangana ",21 Nov 2020,Online,IIIT Hyderabad,436,40
Karpaga Vinayaga College of Engineering and Technology,"HWR7+7FW, Tamil Nadu ",9 Jul 2020,Online,IIIT Hyderabad,369,58
Talla Padmavathi College of Engineering,"Tekulagudem,Somidi, Kazipet, Telangana ",12 Apr 2020,Online,IIIT Hyderabad,225,16
Anurag Group of Institutions,"Venkatapur, Ghatkesar Rd, Hyderabad, Telangana",8 Apr 2020,Online,IIIT Hyderabad,221,24
Sri Sathya Sai Institute of Higher Learning,"5R77+32M, Vidyagiri Prasanthi Nilayam, Puttaparthi, Andhra Pradesh",2 Oct 2020,Offline,IIIT Hyderabad,108,19
Siddhartha Institute of Technology & Sciences,"Narapally, Korremula Road, Ghatkesar Mandal, Peerzadiguda, Hyderabad, Telangana ",15 Jul 2020,Online,IIIT Hyderabad,105,2
Sri Venkateshwara College of Engineering,"Sree Sainath Nagar, Tirupati, Andhra Pradesh ",23 Sept 2020,Online,IIIT Hyderabad,95,206
Stanley College of Engineering and Technology for Women,"H. No. 5-78 to 82, B-1-80 & 5-9-81, Chapel Road, Fateh Maidan, Abids, Hyderabad, Telangana ",12 Mar 2020,Online,IIIT Hyderabad,93,31
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",21 Aug 2020,Online,IIIT Hyderabad,50,27
Vignana Bharati Institute of Technology," Aushapur, Ghatkesar, near HPCL, Hyderabad, Telangana ",15 Sept 2020,Online,IIIT Hyderabad,14,12
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 Sept 2020,Online,Nodal Center,4,3
Sree Dattha Group of Institutions,"Sree, Sree Datta College Road, Sheriguda, Telangana",9 May 2020,Online,IIIT Hyderabad,0,0
CMR Technical Campus,"Kandlakoya (V, Medchal Rd, Hyderabad, Telangana",28 Nov 2020,Online,IIIT Hyderabad,0,0
SR University,"Hasanparthy, Hanumakonda, Telangana",26 Nov 2020,Online,IIIT Hyderabad,0,0
National Institute of Technology Warangal,"National Institute of Technology Campus, Hanamkonda, Telangana",27 Aug 2020,Online,IIIT Hyderabad,0,0
CMR Engineering College,"Kandlakoya Village, Medchal Rd, Hyderabad, Telangana 501401",5 Jul 2020,Online,IIIT Hyderabad,0,295
