Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Kallam Haranadhareddy Institute of Technology,"Near Kallam Spinning Mills Limited, Guntur-Chennai Hwy, Dasaripalem, Andhra Pradesh ",6 Dec 2021,Online,Nodal Center,104793,4721
St.Ann's College for Women,"12-2-823/A/45, St Ann's Rd, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana ",1 Jan 2021,Online,Nodal Center,48800,2500
SRM Institute of Science and Technology,"Potheri, SRM Nagar, Kattankulathur, Tamil Nadu",23 Sept 2021,Online,Nodal Center,7677,435
Kallam Haranadhareddy Institute of Technology,"Near Kallam Spinning Mills Limited, Guntur-Chennai Hwy, Dasaripalem, Andhra Pradesh ",24 Jun 2021,Online,Nodal Center,5147,65
Global Institute of Engineering & Technology,"Chevella Road, Chilkur, Moinabad, Hyderabad, Telangana ",27 Apr 2021,Online,IIIT Hyderabad,4389,383
Mahatma Gandhi Institute of Technology,"MGIT Main Rd, Kokapet, Gandipet, Telangana ",5 Jan 2021,Online,Nodal Center,4131,190
Maturi Venkata Subba Rao Engineering College,"Saroornagar Mandal, Badangpet - Nadargul Main Rd, Hyderabad, Telangana ",5 Feb 2021,Online,Nodal Center,2491,1764
Vidya Jyothi Institute of Technology,"Aziznagar Gate, Chilkur Balaji Road, Himayat Sagar Rd, Hyderabad, Telangana ",19 Feb 2021,Online,IIIT Hyderabad,2310,66
JNTUK University College of Engineering,"Jawaharlal Nehru Technological University, Kakinada, Andhra Pradesh 533003",23 Feb 2021,Online,IIIT Hyderabad,1922,110
Hyderabad Institute of Technology and Management,"Gandimaisamma, medchal checkpost road, Basuragadi Village, Hyderabad, Telangana ",19 Jun 2021,Online,Nodal Center,1835,1835
GITAM Institute of Technology,"Gitam university, Rudraram, Telangana",7 Oct 2021,Online,Nodal Center,1559,355
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",28 Jul 2021,Online,Nodal Center,1554,245
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",21 Sept 2021,Online,IIIT Hyderabad,1536,119
IIIT Hyderabad,"Professor CR Rao Rd, Gachibowli, Hyderabad, Telangana ",23 Feb 2021,Online,IIIT Hyderabad,1201,171
GVP College of Engineering,"R8CR+5WM, Gandhi Nagar, Madhurawada, Visakhapatnam, Andhra Pradesh",11 Jun 2021,Online,IIIT Hyderabad,559,63
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 May 2021,Online,Nodal Center,505,141
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",10 Feb 2021,Online,Nodal Center,440,39
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 Jun 2021,Online,Nodal Center,379,91
KL University Guntur,"Green Fields, Vaddeswaram, Andhra Pradesh ",30 Dec 2021,Online,IIIT Hyderabad,178,35
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 Apr 2021,Online,Nodal Center,53,9
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",null,Online,Nodal Center,49,null
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 Jul 2021,Online,Nodal Center,36,14
Srinivasa Ramanujan Institute of Technology,"Rotarypuram Village, B K Samudram Mandal, Anantapur, Andhra Pradesh ",1 Jan 2021,Online,Nodal Center,4,4
Kommuri Pratap Reddy Institute of Technology,"Uppal Bus Stop Rd, Uppal, Hyderabad, Telangana ",6 Oct 2021,Online,IIIT Hyderabad,2,1
